Nome aceito,Cidade,Estado,País,Latitude,Longitude
Bacopa stricta,Quaraí,Rio Grande do Sul,Brasil, -30.462402, -56.221597
Bacopa stricta,Blumenau,Santa Catarina,Brasil, -26.9193992614746, -49.0661010742188
Bacopa stricta, pequeno tanque quase seco, solo úmido, ambiente sombreado.,Conceição do Coité,Bahia
Bacopa stricta,CaiapÃ#?#nia,GoiÃ¡s,Brasil, -16.9569, -51.8103
Bacopa stricta,BrasÃ­lia,Distrito Federal,Brasil, -15.7797, -47.9294
Bacopa stricta,Corguinho,Mato Grosso do Sul,Brasil, -19.298842, -55.100289
Bacopa stricta,CORUMBÁ,MS,BRASIL, -18.987778, -56.618333
Bacopa stricta, Trilha do Imperador,Iguape,São Paulo,Brasil, -24.7000007629395
Bacopa stricta, Azambuja.,Brusque,Santa Catarina,Brasil, -27.126635
Bacopa stricta,Campinas,São Paulo,Brazil, -22.8999996185303, -47.060001373291
Bacopa stricta, Rod. SP-55, KM 211,5. Fazenda da Família Pinto.,Bertioga,São Paulo
Bacopa stricta,,São Paulo,Brazil,,
Bacopa stricta, Dourados, Ribeirão da Rasteira,Brotas,São Paulo,Brasil
Bacopa stricta, Fazenda Três Marias, estrada da captação.,Bertioga,São Paulo,Brasil
Bacopa stricta,,,Brasil,,
Bacopa stricta,,Minas Gerais,Brazil,,
Bacopa stricta,Americana,São Paulo,Brasil, -22.7299995422363, -47.3300018310547
Bacopa stricta,Linhares,Espírito Santo,Brasil, -19.3911, -40.0722
Bacopa stricta,,Pernambuco,Brazil,,
Bacopa stricta,,Espírito Santo,Brazil,,
Bacopa stricta,São José da Lage,Alagoas,Brasil, -9.057206, -36.542478
Bacopa stricta,,,Brazil,,
Bacopa stricta,Iracemápolis,São Paulo,Brasil, -22.58, -47.51
Bacopa stricta, Km 38 - Poconé-Porto Jofre,Poconé,Mato Grosso,Brazil, -16.2567005157471
Bacopa stricta, São Bento, valado úmido à beira da linha ferrea (S. Bento-Tiuma).,São Lourenço da Mata,Pernambuco,Brasil
Bacopa stricta,Ipaba,Minas Gerais,Brasil, -19.464444, -42.410556
Bacopa stricta,Monnerat,Rio de Janeiro,Brasil,,
Bacopa stricta,PORTO SEGURO,Bahia,Brasil, -16.4496994018555, -39.0647010803223
Bacopa stricta,CORUMBÁ,MS,BRASIL, -18.996944, -56.605
Bacopa stricta,Piraju,São Paulo,Brasil, -23.1936, -49.3839
Bacopa stricta, along trail from NorMan Mines camp to Aishalton, between camp & abandoned airstrip. In high forest on lateritic clay.,,,Guyana
Bacopa stricta, perto da ponte, chegando próximo da cidade sentido Saubara - Santo Amaro.,Santo Amaro,Bahia,Brazil
Bacopa stricta,Iguape,SP,Brasil, -24.7000007629395, -47.5499992370605
Bacopa stricta, BA 052, Estrada do Feijão,Anguera,Bahia,Brasil
Bacopa stricta, canal de drenagem artificial próximo ao paliteiro.,Campo Grande,Mato Grosso do Sul,Brasil, -20.501942
Bacopa stricta,Caeté,Minas Gerais,Brasil, -19.8799991607666, -43.6697006225586
Bacopa stricta, lado direito da SP 225 Bauru a Jau,Bauru,São Paulo,Brasil, -22.3147
Bacopa stricta,Carmópolis de Minas,Minas Gerais,Brasil, -20.5414009094238, -44.6349983215332
Luffa operculata,Pirambu,Sergipe,Brasil, -10.4416, -36.5121
Luffa operculata,,Pernambuco,Brasil,,
Luffa operculata, beira do lago,Ibimirim,Pernambuco,Brasil, -8.50858333333333
Luffa operculata,Cachoeira,Bahia,Brasil, -12.533333, -39.083333
Luffa operculata,Ilhéus,Bahia,Brasil, -14.7889003753662, -39.0494003295898
Luffa operculata, residência.,Recife,Pernambuco,Brasil, -8.05389022827148
Luffa operculata,Cachoeira,Bahia,Brasil, -12.533333, -39.083333
Luffa operculata,Cajazeiras,Paraíba,Brasil, -6.89027976989746, -38.5553016662598
Luffa operculata,Itapororoca,Paraíba,Brasil, -6.82972002029419, -35.247200012207
Luffa operculata,Botucatu,São Paulo,Brasil, -22.8799991607666, -48.439998626709
Luffa operculata,,,?,,
Luffa operculata,Sousa,Paraíba,Brasil, -6.759444, -38.228056
Luffa operculata,Fortaleza,CearÃ¡,Brasil, -3.7172, -38.5431
Luffa operculata,14,4Km ao SW de Itajú do ColÕnia na Rod. p/ Rio do Meio, depois 2.7K, p/ beira estrada.,ITORORÓ
Luffa operculata,Santos,São Paulo,Brasil, -23.9599990844727, -46.3300018310547
Luffa operculata,Paraíso do Norte,Goiás,Brasil,,
Luffa operculata,São José de Piranhas,Paraíba,Brasil, -7.10175555555556, -38.5953638888889
