Nome Aceito,Sinônimo
Urospatha sagittifolia
Paepalanthus tortilis
Stylosanthes angustifolia
Rhytachne rottboellioides
Cymbosema roseum
Panicum aquaticum
Evolvulus nummularius
Cantinoa americana,Hyptis spicigera
Pleroma urceolare,Tibouchina urceolaris
Ageratum conyzoides
Cyperus intricatus
Cuphea carthagenensis
Mesosetum loliiforme
Hyptis lorentziana
Crotalaria pallida
Cyperus articulatus,Cyperus fistulosus
Cuphea campestris
Rhynchospora tenerrima
Ludwigia tomentosa
Euphorbia thymifolia
Delilia biflora
Dichorisandra hexandra
Cleistes gracilis
Adenostemma brasilianum
Cyperus megapotamicus
Crotalaria sagittalis
Tibouchina cisplatensis
Raddiella esenbeckii
Habenaria warmingii,Habenaria riedelii
Bacopa lanigera
Lilaeopsis attenuata
Eleocharis interstincta
Cuphea arenarioides
Indigofera lespedezioides
Axonopus purpusii
Alternanthera pilosa
Rhabdadenia biflora
Mesosphaerum suaveolens,Hyptis suaveolens
Philodendron rudgeanum
Lepidaploa chalybaea
Senna reticulata
Gynerium sagittatum
Croton trinitatis
Utricularia juncea
Burmannia capitata
Begonia hirtella
Corchorus hirtus
Halodule wrightii
Rugoloa polygonata
Phyllanthus stipulatus
Hibiscus furcellatus
Urochloa subquadripara
Scleria mitis
Rhynchospora tenuis
Rotala mexicana
Momordica charantia
Sphagneticola trilobata
Utricularia praelonga
Coleataenia prionitis,Panicum prionitis
Goeppertia micans,Calathea micans
Marsypianthes chamaedrys
Cyperus sesquiflorus,Kyllinga odorata
Cyperus esculentus
Eleocharis bonariensis
Eriochrysis cayennensis
Wolffia brasiliensis
Rhynchospora holoschoenoides,Rhynchospora cyperoides
Eleocharis nana
Habenaria repens
Lemna gibba
Cyperus hermaphroditus
Bacopa egensis
Inga sessilis
Digitaria violascens
Paspalum conspersum
Heimia apetala,Heimia myrtifolia
Becquerelia muricata
Richterago radiata
Heliotropium elongatum
Pfaffia glomerata
Ludwigia torulosa
Desmodium incanum
Syngonanthus chrysanthus
Eriochloa distachya
Rhynchanthera dichotoma
Tonina fluviatilis
Trichospira verticillata
Paspalum acuminatum
Mandevilla hirsuta
Inga marginata
Euphorbia prostrata
Leptochloa virgata
Scleria gaertneri,Scleria melaleuca,Scleria pterota
Ludwigia leptocarpa
Cyperus rotundus
Utricularia erectiflora
Eleocharis confervoides,Scirpus submersus,Websteria confervoides
Cyperus obtusatus
Cyrtocymura scorpioides,Vernonia scorpioides
Najas conferta
Axonopus brasiliensis
Aeschynomene scabra
Macroptilium gracile
Sida rhombifolia
Rhynchanthera grandiflora
Hydrocotyle ranunculoides
Juncus acutus
Cyperus prolixus
Hydrocotyle bonariensis
Jaegeria hirta
Najas marina
Paspalum coryphaeum
Sinningia elatior
Commelina longicaulis,Commelina schomburgkiana
Hypericum brasiliense
Dracontium longipes
Cyperus odoratus
Echinochloa crus-pavonis
Centrosema brasilianum
Eriocaulon setaceum
Tephrosia domingensis,Tephrosia purpurea
Wedelia calycina
Hibiscus dimidiatus
Crassula peduncularis
Eleocharis montana,Eleocharis nodulosa
Habenaria parviflora,Habenaria brachyphyton
Lobelia anceps
Hypoxis decumbens
Crotalaria nitens
Cyperus reflexus
Vachellia farnesiana
Condea undulata,Hyptis fasciculata
Mimosa setosa
Aeschynomene denticulata
Vigna juruana
Buchnera rosea
Paepalanthus lamarckii
Cyperus iria
Alternanthera brasiliana
Caperonia heteropetala,Argythamnia heteropetala
Aeschynomene evenia
Myriophyllum aquaticum
Fimbristylis complanata
Nymphaea lasiophylla
Homolepis isocalycia
Mayaca kunthii
Nymphaea prolifera
Amaranthus viridis
Rhynchospora subplumosa
Ruellia paniculata
Cyperus alternifolius,Cyperus involucratus
Cyperus gardneri
Nymphaea ampla
Comanthera xeranthemoides,Syngonanthus xeranthemoides
Astraea lobata
Bolboschoenus robustus,Scirpus maritimus
Evolvulus filipes
Echinodorus aschersonianus
Psidium cattleianum
Syngonanthus oblongus
Utricularia simulans
Nymphaea capensis
Sagittaria guayanensis
Paepalanthus planifolius
Philodendron brasiliense
Apalanthe granatensis
Mollugo verticillata
Drymonia coccinea
Juncus pallescens,Juncus dombeyanus
Hygrophila guianensis
Merremia aegyptia
Cyperus digitatus
Senna uniflora
Calyptrocarya glomerulata,Calyptrocarya longifolia
Habenaria johannensis,Habenaria vaupellii
Clitoria falcata
Wedelia villosa,Wedelia alagoensis
Anadenanthera colubrina
Baccharis microcephala
Lilaeopsis carolinensis
Utricularia laxa
Mikania micrantha
Cuphea melvilla
Laurembergia tetrandra
Elodea canadensis
Odontocarya tamoides
Lobelia camporum
Gomphrena demissa
Utricularia guyanensis
Hypericum mutilum
Oxypetalum tubatum
Cyperus brevifolius
Utricularia pusilla
Gurania bignoniacea
Rolandra fruticosa
Panicum dichotomiflorum
Eleusine indica
Fuirena incompleta
Cuphea sessiliflora
Indigofera sabulicola
Cassytha filiformis
Echinodorus scaber
Hyptis lagenaria
Dyschoriste maranhonis
Dioclea grandiflora
Utricularia poconensis
Baccharis spicata
Enydra radicans
Eragrostis tenella
Curtia tenuifolia
Cyperus mundtii
Paspalum fasciculatum
Cyperus subsquarrosus,Lipocarpha micrantha
Cyperus squarrosus,Cyperus aristatus
Pleurophora anomala
Ludwigia lagunae
Vigna lasiocarpa
Utricularia neottioides
Luziola peruviana,Luziola brasiliana
Pterolepis glomerata
Sisyrinchium micranthum
Lythrum hyssopifolia
Eleocharis filiculmis
Steinchisma laxum,Panicum laxum
Cissampelos glaberrima
Hymenachne donacifolia
Nelsonia canescens,Nelsonia brunelloides
Cabomba furcata
Rhynchanthera verbenoides
Bacopa arenaria
Rhynchospora cephalotes
Acroceras zizanioides
Chaptalia graminifolia
Rhynchospora pubera
Cuphea ingrata
Eriocaulon aquatile,Eriocaulon angustifolium
Synedrella nodiflora
Cyperus virens
Cyperus chalaranthus
Cyperus cellulosoreticulatus,Cyperus celluloso-reticulatus
Tanaecium pyramidatum
Dichanthelium sabulorum,Panicum sabulorum
Lonchocarpus sericeus
Macrolobium multijugum
Cyperus eragrostis
Eleocharis acutangula,Eleocharis fistulosa
Ipomoea fimbriosepala
Begonia cucullata
Rugoloa hylaeica
Schoenoplectus californicus,Scirpus californicus
Paspalum pumilum
Aeschynomene montevidensis
Utricularia myriocista
Dysphania ambrosioides,Chenopodium ambrosioides
Sagittaria rhombifolia
Hyptis recurvata
Digitaria horizontalis
Agarista chlorantha
Grazielia intermedia
Justicia comata
Cyperus luzulae
Ludwigia elegans
Ludwigia major
Salvia arenaria
Ischaemum minus
Cyperus sellowianus,Lipocarpha humboldtiana,Lipocarpha sellowiana
Syngonanthus gracilis
Emilia fosbergii,Emilia coccinea
Alternanthera paronychioides
Nymphoides humboldtiana
Andropogon leucostachyus
Aspidogyne pumila,Erythrodes pumila
Bulbostylis hirtella
Aneilema umbrosum
Aeschynomene fluminensis
Ludwigia rigida
Chelonanthus purpurascens,Irlbachia purpurascens
Ammannia auriculata
Lemna aequinoctialis
Bulbostylis junciformis
Centrosema pubescens
Cyperus ligularis
Chloris barbata
Triglochin striata
Heliotropium angiospermum
Juncus bufonius
Equisetum giganteum
Echinochloa crusgalli
Bactris maraja
Hibiscus diversifolius
Eriocaulon humboldtii
Blutaparon portulacoides
Senecio icoglossus
Fimbristylis miliacea
Mimosa dormiens
Utricularia foliosa
Ipomoea squamosa
Ipomoea alba
Zornia guanipensis
Nymphaea belophylla
Urena lobata
Dactyloctenium aegyptium
Crotalaria pilosa
Pterolepis repanda
Salvia scabrida
Pariana campestris
Pleroma trichopodum,Tibouchina trichopoda
Pavonia laetevirens
Pluchea sagittalis
Utricularia nigrescens
Nymphoides grayana
Erechtites valerianifolius
Scleria hirtella
Aconisia grandis,Panicum grande
Sauvagesia sprengelii
Luziola fragilis
Mikania congesta
Wolffia columbiana
Justicia laevilinguis
Helicteres guazumifolia
Eleocharis maculosa
Echinodorus macrophyllus
Eleocharis retroflexa
Rhynchospora contracta
Leiothrix rufula
Paspalum boscianum
Paspalum pulchellum
Habenaria aricaensis
Rotala rotundifolia
Cuphea repens
Syngonanthus caulescens,Syngonanthus glandulosus
Bacopa monnieri
Pacourina edulis
Echinodorus pubescens
Paepalanthus bifidus
Eryngium eburneum
Hymenachne pernambucensis,Panicum rivulare
Paspalum distichum
Hyptis brevipes
Guadua trinii,Bambusa trinii
Limnobium laevigatum
Tibouchina cerastifolia
Egeria densa
Trichanthecium micranthum
Cuphea antisyphilitica
Utricularia laciniata
Ludwigia sericea
Diplacrum capitatum,Diplacrum longifolium
Cyperus corymbosus
Pavonia cancellata
Vitex cymosa
Mimosa bimucronata
Eriocaulon obtusum
Barrosoa betonicaeformis
Juncus microcephalus,Juncus sellowianus
Chamaecrista calycioides
Paspalum virgatum
Chelonanthus alatus,Irlbachia alata
