Cissampelos glaberrima ok
Odontocarya arifolia,Odontocarya arifolia

Odontocarya tamoides ok
Nymphoides grayana ok
Nymphoides humboldtiana ok
Glinus radiatus ok
Mollugo verticillata ok
Psidium acutangulum ok
Psidium cattleianum ok
Nymphaea ampla ok
Nymphaea belophylla ok
Nymphaea caerulea ok
Nymphaea capensis ok
Nymphaea gardneriana ok
Nymphaea jamesoniana ok
Nymphaea lasiophylla ok
Nymphaea lingulata ok
Nymphaea lotus ok
Nymphaea mexicana ok
Nymphaea odorata ok
Nymphaea oxypetala ok
Nymphaea prolifera ok
Nymphaea pulchella ok
Nymphaea rubra ok
Nymphaea rudgeana ok
Victoria amazonica ok
Sauvagesia erecta ok
Sauvagesia racemosa ok
Sauvagesia rubiginosa ok
Sauvagesia sprengelii ok
Ludwigia affinis ok
Ludwigia caparosa ok
Ludwigia decurrens ok
Ludwigia densiflora ok
Ludwigia elegans ok
Ludwigia erecta ok
Ludwigia filiformis ok
Ludwigia grandiflora ok
Ludwigia helminthorrhiza ok
Ludwigia hexapetala ok
Ludwigia hyssopifolia ok
Ludwigia inclinata ok
Ludwigia irwinii ok
Ludwigia lagunae ok
Ludwigia leptocarpa ok
Ludwigia longifolia ok
Ludwigia major ok
Ludwigia multinervia ok
Ludwigia nervosa ok
Ludwigia octovalvis ok
Ludwigia peploides ok
Ludwigia peruviana ok
Ludwigia rigida ok
Ludwigia sericea ok
Ludwigia tomentosa ok
Ludwigia torulosa ok
Ludwigia uruguayensis,Ludwigia uruguayensis

Cleistes gracilis ok
Cyrtopodium paludicolum ok
Epidendrum dendrobioides ok
Erythrodes pumila,Erythrodes pumila

Eulophia alta ok
Habenaria aricaensis ok
Habenaria brachyphyton,Habenaria brachyphyton

Habenaria bractescens ok
Habenaria inconspicua ok
Habenaria johannensis ok
Habenaria nabucoi ok
Habenaria nuda ok
Habenaria parviflora ok
Habenaria pratensis ok
Habenaria repens ok
Habenaria riedelii,Habenaria riedelii

Habenaria vaupellii,Habenaria vaupellii

Buchnera palustris ok
Buchnera rosea ok
Melasma melampyroides ok
Oxalis barrelieri ok
Passiflora vespertilio ok
Piriqueta cistoides ok
Piriqueta racemosa ok
Turnera scabra ok
Phyllanthus fluitans ok
Phyllanthus niruri ok
Phyllanthus sellowianus ok
Phyllanthus stipulatus ok
Phytolacca thyrsiflora ok
Piper caldense ok
Piper fuligineum ok
Achetaria ocymoides ok
Angelonia gardneri,Angelonia gardneri

Bacopa aquatica ok
Bacopa arenaria ok
Bacopa egensis ok
Bacopa lanigera ok
Bacopa monnieri ok
Bacopa rotundifolia ok
Bacopa salzmannii ok
Bacopa serpylloides,Bacopa serpylloides

Bacopa stricta ok
Callitriche deflexa ok
Callitriche rimosa ok
Conobea aquatica ok
Gratiola peruviana ok
Mecardonia serpylloides ok
Micranthemum umbrosum ok
Plantago australis ok
Scoparia dulcis ok
Scoparia montevidensis ok
Stemodia durantifolia ok
Stemodia maritima ok
Limonium brasiliense ok
Acroceras zizanioides ok
Andropogon bicornis ok
Andropogon leucostachyus ok
Andropogon selloanus ok
Andropogon virgatus ok
Anthephora hermaphrodita ok
Axonopus brasiliensis ok
Axonopus leptostachyus ok
Axonopus purpusii ok
Bambusa trinii,Bambusa trinii

Brachiaria brizantha,Brachiaria brizantha

Brachiaria decumbens,Brachiaria decumbens

Brachiaria mutica,Brachiaria mutica

Brachiaria plantaginea,Brachiaria plantaginea

Cenchrus echinatus ok
Cenchrus purpureus ok
Chloris barbata ok
Chloris exilis ok
Coix lacryma-jobi ok
Cynodon dactylon ok
Dactyloctenium aegyptium ok
Digitaria ciliaris ok
Digitaria horizontalis ok
Digitaria violascens ok
Dinebra scabra ok
Echinochloa crusgalli ok
Echinochloa crus-pavonis ok
Echinochloa polystachya ok
Eleusine indica ok
Eragrostis acutiflora ok
Eragrostis bahiensis ok
Eragrostis ciliaris ok
Eragrostis japonica ok
Eragrostis pilosa ok
Eragrostis tenella ok
Eriochloa distachya ok
Eriochloa punctata ok
Eriochrysis cayennensis ok
Gynerium sagittatum ok
Homolepis aturensis ok
Homolepis isocalycia ok
Hymenachne donacifolia ok
Imperata brasiliensis ok
Imperata tenuis ok
Isachne polygonoides ok
Ischaemum guianense ok
Ischaemum minus ok
Lasiacis procerrima ok
Leptochloa virgata ok
Leptocoryphium lanatum,Leptocoryphium lanatum

Luziola bahiensis ok
Luziola brasiliana,Luziola brasiliana

Luziola fragilis ok
Luziola peruviana ok
Luziola spruceana ok
Luziola subintegra ok
Megathyrsus maximus ok
Mesosetum loliiforme ok
Olyra ecaudata ok
Olyra longifolia ok
Oryza glumaepatula ok
Oryza grandiglumis ok
Oryza latifolia ok
Oryza sativa ok
Otachyrium succisum ok
Otachyrium versicolor ok
Panicum aquaticum ok
Panicum boliviense,Panicum boliviense

Panicum dichotomiflorum ok
Panicum elephantipes,Panicum elephantipes

Panicum grande,Panicum grande

Panicum grumosum,Panicum grumosum

Panicum helobium,Panicum helobium

Panicum laxum,Panicum laxum

Panicum maximum,Panicum maximum

Panicum mertensii,Panicum mertensii

Panicum milleflorum,Panicum milleflorum

Panicum parvifolium,Panicum parvifolium

Panicum prionitis,Panicum prionitis

Panicum repens ok
Panicum rivulare,Panicum rivulare

Panicum sabulorum,Panicum sabulorum

Panicum schwackeanum,Panicum schwackeanum

Paratheria prostrata ok
Pariana campestris ok
Paspalidium paludivagum,Paspalidium paludivagum

Paspalum acuminatum ok
Paspalum boscianum ok
Paspalum conjugatum ok
Paspalum conspersum ok
Paspalum coryphaeum ok
Paspalum densum ok
Paspalum denticulatum ok
Paspalum distichum ok
Paspalum fasciculatum ok
Paspalum glaucescens ok
Paspalum ligulare ok
Paspalum melanospermum ok
Paspalum millegrana ok
Paspalum orbiculatum ok
Paspalum pulchellum ok
Paspalum pumilum ok
Paspalum repens ok
Paspalum trichophyllum ok
Paspalum vaginatum ok
Paspalum virgatum ok
Paspalum wrightii ok
Pennisetum purpureum,Pennisetum purpureum

Poidium calotheca,Poidium calotheca

Polypogon elongatus ok
Raddiella esenbeckii ok
Rhytachne rottboellioides ok
Reimarochloa aberrans ok
Reimarochloa acuta ok
Reimarochloa brasiliensis ok
Rugoloa hylaeica ok
Rugoloa pilosa ok
Rugoloa polygonata ok
Sacciolepis striata ok
Sacciolepis vilvoides ok
Spartina alterniflora ok
Spartina densiflora ok
Sorghastrum setosum ok
Sorghum bicolor ok
Sporobolus virginicus ok
Steinchisma laxum ok
Stephostachys mertensii ok
Trichanthecium micranthum ok
Trichanthecium nervosum ok
Trichanthecium parvifolium ok
Trichanthecium pyrularium ok
Urochloa humidicola ok
Urochloa plantaginea ok
Urochloa subquadripara ok
Zizaniopsis bonariensis ok
