uziola spruceana
uziola subintegra
egathyrsus maximus
esosetum loliiforme
lyra ecaudata
lyra longifolia
ryza glumaepatula
ryza grandiglumis
ryza latifolia
ryza sativa
tachyrium succisum
tachyrium versicolor
anicum aquaticum
anicum boliviense
anicum dichotomiflorum
anicum elephantipes
anicum grande
anicum grumosum
anicum helobium
anicum laxum
anicum maximum
anicum mertensii
anicum milleflorum
anicum parvifolium
anicum pernambuncense
anicum prionitis
anicum repens
anicum rivulare
anicum sabulorum
anicum schwackeanum
aratheria prostrata
ariana campestris
aspalidium paludivagum
aspalidium geminatum (Forssk.)
aspalum acuminatum
aspalum boscianum
aspalum conjugatum
aspalum conspersum
aspalum coryphaeum
aspalum densum
aspalum denticulatum
aspalum distichum
aspalum fasciculatum
aspalum glaucescens
aspalum hydrophyllum
aspalum ligulare
aspalum melanospermum
aspalum millegrana
Paspalum morichalense
aspalum orbiculatum
aspalum pulchellum
aspalum pumilum
aspalum repens
aspalum trichophyllum
aspalum vaginatum
aspalum virgatum
aspalum wrightii
ennisetum purpureum
oidium calotheca
olypogon elongatus
addiella esenbeckii
hytachne rottboellioides
eimarochloa aberrans
eimarochloa acuta
eimarochloa brasiliensis
ugoloa hylaeica
ugoloa pilosa
ugoloa polygonata
acciolepis striata
acciolepis vilvoides
acciolepis myuros (Lam.)
partina alterniflora
partina densiflora
etaria pauciflora
etaria parviflora (Poir.)
orghastrum setosum
orghum bicolor
porobolus virginicus
porobolus indicus (L.)
teinchisma laxa
teinchisma laxum
teinchisma decipiens (Nees ex
tephostachys mertensii
richanthecium cyanenscens
richanthecium micranthum
richanthecium nervosum
richanthecium parvifolium
richanthecium pyrularium
rochloa humidicola
rochloa plantaginea
rochloa subquadripara
izaniopsis bonariensis
